name,description,category,fraction,points,icon_url
Level 10,Reach level 10.,Character,,10,https://icons.wowdb.com/retail/medium/achievement_level_10.jpg?41793
Level 20,Reach level 20.,Character,,10,https://icons.wowdb.com/retail/medium/achievement_level_20.jpg?41793
Level 30,Reach level 30.,Character,,10,https://icons.wowdb.com/retail/medium/achievement_level_30.jpg?41793
Level 40,Reach level 40.,Character,,10,https://icons.wowdb.com/retail/medium/achievement_level_40.jpg?41793
Level 50 (Legacy),Reached level 50 prior to the Shadowlands expansion.,Character,,,https://icons.wowdb.com/retail/medium/achievement_level_50.jpg?41793
Level 60 (Legacy),Reached level 60 prior to the Shadowlands expansion.,Character,,,https://icons.wowdb.com/retail/medium/achievement_level_60.jpg?41793
Level 70 (Legacy),Reached level 70 prior to the Shadowlands expansion.,Character,,,https://icons.wowdb.com/retail/medium/achievement_level_70.jpg?41793
Level 80 (Legacy),Reached level 80 prior to the Shadowlands expansion.,Character,,,https://icons.wowdb.com/retail/medium/achievement_level_80.jpg?41793
Plenty of Pets,Collect 15 unique pets.,Collect,,10,https://icons.wowdb.com/retail/medium/inv_box_petcarrier_01.jpg?41793
Did Somebody Order a Knuckle Sandwich?,Raise your unarmed skill to 400.,Character,,,https://icons.wowdb.com/retail/medium/ability_warrior_secondwind.jpg?41793
A Simple Re-Quest,Complete a daily quest every day for five consecutive days.,Quests,,10,https://icons.wowdb.com/retail/medium/achievement_quests_completed_daily_x5.jpg?41793
2000 Quests Completed,Complete 2000 quests.,Quests,,10,https://icons.wowdb.com/retail/medium/achievement_quests_completed_07.jpg?41793
Nothing Boring About Borean,Complete the Borean Tundra storylines listed below.,Northrend,alliance,10,https://icons.wowdb.com/retail/medium/achievement_zone_boreantundra_07.jpg?41793
I've Toured the Fjord,Complete the Howling Fjord storylines listed below.,Northrend,alliance,10,https://icons.wowdb.com/retail/medium/achievement_zone_howlingfjord_07.jpg?41793
Might of Dragonblight,Complete the Dragonblight storylines listed below.,Northrend,alliance,10,https://icons.wowdb.com/retail/medium/achievement_zone_dragonblight_07.jpg?41793
The Empire of Zul'Drak,Complete the Zul'Drak storylines listed below.,Northrend,,10,https://icons.wowdb.com/retail/medium/achievement_zone_zuldrak_07.jpg?41793
Fo' Grizzle My Shizzle,Complete the Grizzly Hills storylines listed below.,Northrend,alliance,10,https://icons.wowdb.com/retail/medium/achievement_zone_grizzlyhills_07.jpg?41793
The Summit of Storm Peaks,Complete the Storm Peaks storylines listed below.,Northrend,,10,https://icons.wowdb.com/retail/medium/achievement_zone_stormpeaks_07.jpg?41793
Into the Basin,Complete the Sholazar Basin storylines listed below.,Northrend,,10,https://icons.wowdb.com/retail/medium/achievement_zone_sholazar_07.jpg?41793
Icecrown: The Final Goal,Complete the Icecrown storylines listed below.,Northrend,,10,https://icons.wowdb.com/retail/medium/achievement_zone_icecrown_07.jpg?41793
Loremaster of Northrend,Complete the Northrend quest achievements listed below.,Northrend,,10,https://icons.wowdb.com/retail/medium/achievement_zone_northrend_01.jpg?41793
Eastern Kingdoms Explorer,Explore the regions of Eastern Kingdoms.,Exploration,,25,https://icons.wowdb.com/retail/medium/achievement_zone_easternkingdoms_01.jpg?41793
Kalimdor Explorer,Explore the regions of Kalimdor.,Exploration,,25,https://icons.wowdb.com/retail/medium/achievement_zone_kalimdor_01.jpg?41793
Outland Explorer,Explore the regions of Outland.,Exploration,,25,https://icons.wowdb.com/retail/medium/achievement_zone_outland_01.jpg?41793
Northrend Explorer,Explore the regions of Northrend.,Exploration,,25,https://icons.wowdb.com/retail/medium/achievement_zone_northrend_01.jpg?41793
Universal Explorer,"Explore Eastern Kingdoms, Kalimdor, Outland, Northrend, the areas revealed by the Cataclysm, Pandaria, Draenor, the Broken Isles, Kul Tiras, and Za...",Exploration,,50,https://icons.wowdb.com/retail/medium/inv_misc_map02.jpg?41793
Disgracin' The Basin,Assault 3 bases in a single Arathi Basin battle.,Arathi Basin,,10,https://icons.wowdb.com/retail/medium/ability_warrior_battleshout.jpg?41793
Professional Journeyman,"Obtain 150 skill points in a ""Classic"" category of a profession.",Professions,,10,https://icons.wowdb.com/retail/medium/inv_misc_note_01.jpg?41793
Journeyman Cook,"Obtain 150 skill points in the ""Classic"" category of cooking.",Cooking,,10,https://icons.wowdb.com/retail/medium/inv_misc_food_15.jpg?41793
Expert Cook,"Obtain 225 skill points in the ""Classic"" category of cooking.",Cooking,,10,https://icons.wowdb.com/retail/medium/inv_misc_food_15.jpg?41793
Classic Cook,"Obtain 300 skill points in the ""Classic"" category of cooking.",Cooking,,10,https://icons.wowdb.com/retail/medium/inv_misc_food_15.jpg?41793
Outland Cook,"Obtain 75 skill points in the ""Outland"" category of cooking.",Cooking,,10,https://icons.wowdb.com/retail/medium/inv_misc_food_15.jpg?41793
Northrend Cook,"Obtain 75 skill points in the ""Northrend"" category of cooking.",Cooking,,10,https://icons.wowdb.com/retail/medium/inv_misc_food_15.jpg?41793
Journeyman Fisherman,"Obtain 150 skill points in the ""Classic"" category of fishing.",Fishing,,10,https://icons.wowdb.com/retail/medium/trade_fishing.jpg?41793
Expert Fisherman,"Obtain 225 skill points in the ""Classic"" category of fishing.",Fishing,,10,https://icons.wowdb.com/retail/medium/trade_fishing.jpg?41793
Artisan Fisherman,"Obtain 300 skill points in the ""Classic"" category of fishing.",Fishing,,10,https://icons.wowdb.com/retail/medium/trade_fishing.jpg?41793
Outland Fisherman,"Obtain 75 skill points in the ""Outland"" category of fishing.",Fishing,,10,https://icons.wowdb.com/retail/medium/trade_fishing.jpg?41793
Northrend Fisherman,"Obtain 75 skill points in the ""Northrend"" category of fishing.",Fishing,,10,https://icons.wowdb.com/retail/medium/trade_fishing.jpg?41793
Journeyman Medic,Obtain 150 skill points in first aid.,Professions,,,https://icons.wowdb.com/retail/medium/spell_holy_sealofsacrifice.jpg?41793
Expert Medic,Obtain 225 skill points in first aid.,Professions,,,https://icons.wowdb.com/retail/medium/spell_holy_sealofsacrifice.jpg?41793
Artisan Medic,Obtain 300 skill points in first aid.,Professions,,,https://icons.wowdb.com/retail/medium/spell_holy_sealofsacrifice.jpg?41793
Master Medic,Obtain 375 skill points in first aid.,Professions,,,https://icons.wowdb.com/retail/medium/spell_holy_sealofsacrifice.jpg?41793
Grand Master Medic,Obtain 450 skill points in first aid.,Professions,,,https://icons.wowdb.com/retail/medium/spell_holy_sealofsacrifice.jpg?41793
Stocking Up,Create 500 Heavy Frostweave Bandages.,Professions,,,https://icons.wowdb.com/retail/medium/inv_misc_bandage_04.jpg?41793
Ultimate Triage,"Use a Heavy Frostweave Bandage, or any Embersilk or Windwool Bandage, to heal a player who has less than 5% health.",Professions,,,https://icons.wowdb.com/retail/medium/inv_misc_surgeonglove_01.jpg?41793
The Lurker Above,Fish up The Lurker Below in Serpentshrine Cavern.,Fishing,,10,https://icons.wowdb.com/retail/medium/ability_creature_poison_05.jpg?41793
The Fishing Diplomat,Fish something up in Orgrimmar and Stormwind.,Fishing,,10,https://icons.wowdb.com/retail/medium/inv_helmet_44.jpg?41793
The Old Gnome and the Sea,Successfully fish from a school.,Fishing,,10,https://icons.wowdb.com/retail/medium/achievement_profession_fishing_journeymanfisher.jpg?41793
Arathi Basin Victory,Win Arathi Basin.,Arathi Basin,,10,https://icons.wowdb.com/retail/medium/achievement_bg_winab.jpg?41793
Arathi Basin Veteran,Complete 100 victories in Arathi Basin.,Arathi Basin,,10,https://icons.wowdb.com/retail/medium/achievement_bg_win_ab_x_times.jpg?41793
Territorial Dominance,Win 10 Arathi Basin matches while controlling all 5 flags.,Arathi Basin,,10,https://icons.wowdb.com/retail/medium/achievement_bg_winab_5cap.jpg?41793
